Quadrant,File Name,Path,Category Type,Image Index
Q1,topleft_9_0.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_0.png,Empty,9
Q1,topleft_1_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_1_9.png,Empty,1
Q1,topleft_1_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_1_8.png,Empty,1
Q1,topleft_9_1.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_1.png,Empty,9
Q1,topleft_9_3.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_3.png,Empty,9
Q1,topleft_3_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_3_8.png,Empty,3
Q1,topleft_3_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_3_9.png,Empty,3
Q1,topleft_9_2.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_2.png,Empty,9
Q1,topleft_9_6.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_6.png,Empty,9
Q1,topleft_7_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_7_9.png,Empty,7
Q1,topleft_7_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_7_8.png,Empty,7
Q1,topleft_9_7.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_7.png,Empty,9
Q1,topleft_9_5.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_5.png,Empty,9
Q1,topleft_5_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_5_8.png,Empty,5
Q1,topleft_5_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_5_9.png,Empty,5
Q1,topleft_9_4.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_9_4.png,Empty,9
Q1,topleft_2_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_2_8.png,Empty,2
Q1,topleft_8_3.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_3.png,Empty,8
Q1,topleft_8_2.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_2.png,Empty,8
Q1,topleft_2_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_2_9.png,Empty,2
Q1,topleft_0_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_0_9.png,Empty,0
Q1,topleft_8_0.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_0.png,Empty,8
Q1,topleft_8_1.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_1.png,Empty,8
Q1,topleft_0_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_0_8.png,Empty,0
Q1,topleft_4_8.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_4_8.png,Empty,4
Q1,topleft_8_5.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_5.png,Empty,8
Q1,topleft_8_4.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_4.png,Empty,8
Q1,topleft_4_9.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_4_9.png,Empty,4
Q1,topleft_8_6.png,projectdata/images/uncentred_ternary_224_stratified4fold_1000per_seed3888/Q1/Empty/topleft_8_6.png,Empty,8
